#Reads:	196031
#Bases:	809296219
#Max:	58041
#Min:	9
#Avg:	4128.4
#Median:	3950
#Mode:	3630
#Std_Dev:	1663.6
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
8040	49	0.025%	2737	1.396%	394186	0.049%	23957312	2.960%
8050	56	0.029%	2688	1.371%	451029	0.056%	23563126	2.912%
8060	46	0.023%	2632	1.343%	370958	0.046%	23112097	2.856%
8070	52	0.027%	2586	1.319%	419817	0.052%	22741139	2.810%
8080	34	0.017%	2534	1.293%	274859	0.034%	22321322	2.758%
8090	47	0.024%	2500	1.275%	380441	0.047%	22046463	2.724%
8100	29	0.015%	2453	1.251%	235029	0.029%	21666022	2.677%
8110	48	0.024%	2424	1.237%	389502	0.048%	21430993	2.648%
8120	39	0.020%	2376	1.212%	316849	0.039%	21041491	2.600%
8130	27	0.014%	2337	1.192%	219597	0.027%	20724642	2.561%
8140	27	0.014%	2310	1.178%	219875	0.027%	20505045	2.534%
8150	36	0.018%	2283	1.165%	293549	0.036%	20285170	2.507%
8160	34	0.017%	2247	1.146%	277600	0.034%	19991621	2.470%
8170	34	0.017%	2213	1.129%	277957	0.034%	19714021	2.436%
8180	35	0.018%	2179	1.112%	286485	0.035%	19436064	2.402%
8190	40	0.020%	2144	1.094%	327791	0.041%	19149579	2.366%
8200	37	0.019%	2104	1.073%	303579	0.038%	18821788	2.326%
8210	42	0.021%	2067	1.054%	345014	0.043%	18518209	2.288%
8220	33	0.017%	2025	1.033%	271405	0.034%	18173195	2.246%
8230	35	0.018%	1992	1.016%	288204	0.036%	17901790	2.212%
8240	39	0.020%	1957	0.998%	321516	0.040%	17613586	2.176%
8250	40	0.020%	1918	0.978%	330197	0.041%	17292070	2.137%
8260	37	0.019%	1878	0.958%	305794	0.038%	16961873	2.096%
8270	27	0.014%	1841	0.939%	223373	0.028%	16656079	2.058%
8280	28	0.014%	1814	0.925%	231958	0.029%	16432706	2.030%
8290	33	0.017%	1786	0.911%	273728	0.034%	16200748	2.002%
8300	17	0.009%	1753	0.894%	141177	0.017%	15927020	1.968%
8310	32	0.016%	1736	0.886%	266070	0.033%	15785843	1.951%
8320	38	0.019%	1704	0.869%	316319	0.039%	15519773	1.918%
8330	19	0.010%	1666	0.850%	158354	0.020%	15203454	1.879%
8340	26	0.013%	1647	0.840%	216957	0.027%	15045100	1.859%
8350	21	0.011%	1621	0.827%	175425	0.022%	14828143	1.832%
8360	32	0.016%	1600	0.816%	267690	0.033%	14652718	1.811%
8370	25	0.013%	1568	0.800%	209371	0.026%	14385028	1.777%
8380	22	0.011%	1543	0.787%	184464	0.023%	14175657	1.752%
8390	27	0.014%	1521	0.776%	226647	0.028%	13991193	1.729%
8400	21	0.011%	1494	0.762%	176477	0.022%	13764546	1.701%
8410	25	0.013%	1473	0.751%	210375	0.026%	13588069	1.679%
8420	16	0.008%	1448	0.739%	134788	0.017%	13377694	1.653%
8430	30	0.015%	1432	0.730%	253031	0.031%	13242906	1.636%
8440	16	0.008%	1402	0.715%	135101	0.017%	12989875	1.605%
8450	28	0.014%	1386	0.707%	236741	0.029%	12854774	1.588%
8460	25	0.013%	1358	0.693%	211604	0.026%	12618033	1.559%
8470	31	0.016%	1333	0.680%	262692	0.032%	12406429	1.533%
8480	23	0.012%	1302	0.664%	195163	0.024%	12143737	1.501%
8490	23	0.012%	1279	0.652%	195370	0.024%	11948574	1.476%
8500	23	0.012%	1256	0.641%	195628	0.024%	11753204	1.452%
8510	34	0.017%	1233	0.629%	289490	0.036%	11557576	1.428%
8520	15	0.008%	1199	0.612%	127870	0.016%	11268086	1.392%
8530	17	0.009%	1184	0.604%	145098	0.018%	11140216	1.377%
8540	17	0.009%	1167	0.595%	145253	0.018%	10995118	1.359%
8550	20	0.010%	1150	0.587%	171088	0.021%	10849865	1.341%
8560	23	0.012%	1130	0.576%	196980	0.024%	10678777	1.320%
8570	19	0.010%	1107	0.565%	162934	0.020%	10481797	1.295%
8580	16	0.008%	1088	0.555%	137338	0.017%	10318863	1.275%
8590	20	0.010%	1072	0.547%	171881	0.021%	10181525	1.258%
8600	24	0.012%	1052	0.537%	206491	0.026%	10009644	1.237%
8610	28	0.014%	1028	0.524%	241197	0.030%	9803153	1.211%
8620	22	0.011%	1000	0.510%	189725	0.023%	9561956	1.182%
8630	18	0.009%	978	0.499%	155418	0.019%	9372231	1.158%
8640	16	0.008%	960	0.490%	138311	0.017%	9216813	1.139%
8650	17	0.009%	944	0.482%	147131	0.018%	9078502	1.122%
8660	16	0.008%	927	0.473%	138643	0.017%	8931371	1.104%
8670	12	0.006%	911	0.465%	104098	0.013%	8792728	1.086%
8680	14	0.007%	899	0.459%	121575	0.015%	8688630	1.074%
8690	20	0.010%	885	0.451%	173864	0.021%	8567055	1.059%
8700	27	0.014%	865	0.441%	235032	0.029%	8393191	1.037%
8710	18	0.009%	838	0.427%	156869	0.019%	8158159	1.008%
8720	15	0.008%	820	0.418%	130855	0.016%	8001290	0.989%
8730	10	0.005%	805	0.411%	87353	0.011%	7870435	0.973%
8740	13	0.007%	795	0.406%	113660	0.014%	7783082	0.962%
8750	12	0.006%	782	0.399%	105072	0.013%	7669422	0.948%
8760	11	0.006%	770	0.393%	96409	0.012%	7564350	0.935%
8770	10	0.005%	759	0.387%	87739	0.011%	7467941	0.923%
8780	12	0.006%	749	0.382%	105393	0.013%	7380202	0.912%
8790	18	0.009%	737	0.376%	158297	0.020%	7274809	0.899%
8800	13	0.007%	719	0.367%	114455	0.014%	7116512	0.879%
8810	13	0.007%	706	0.360%	114569	0.014%	7002057	0.865%
8820	8	0.004%	693	0.354%	70612	0.009%	6887488	0.851%
8830	14	0.007%	685	0.349%	123681	0.015%	6816876	0.842%
8840	15	0.008%	671	0.342%	132665	0.016%	6693195	0.827%
8850	13	0.007%	656	0.335%	115089	0.014%	6560530	0.811%
8860	8	0.004%	643	0.328%	70916	0.009%	6445441	0.796%
8870	17	0.009%	635	0.324%	150870	0.019%	6374525	0.788%
8880	11	0.006%	618	0.315%	97714	0.012%	6223655	0.769%
8890	9	0.005%	607	0.310%	80054	0.010%	6125941	0.757%
8900	11	0.006%	598	0.305%	97962	0.012%	6045887	0.747%
8910	7	0.004%	587	0.299%	62410	0.008%	5947925	0.735%
8920	11	0.006%	580	0.296%	98169	0.012%	5885515	0.727%
8930	8	0.004%	569	0.290%	71475	0.009%	5787346	0.715%
8940	19	0.010%	561	0.286%	169943	0.021%	5715871	0.706%
8950	8	0.004%	542	0.276%	71641	0.009%	5545928	0.685%
8960	17	0.009%	534	0.272%	152398	0.019%	5474287	0.676%
8970	14	0.007%	517	0.264%	125649	0.016%	5321889	0.658%
8980	11	0.006%	503	0.257%	98829	0.012%	5196240	0.642%
8990	10	0.005%	492	0.251%	89950	0.011%	5097411	0.630%
9000	8	0.004%	482	0.246%	72037	0.009%	5007461	0.619%
9010	11	0.006%	474	0.242%	99144	0.012%	4935424	0.610%
9020	5	0.003%	463	0.236%	45133	0.006%	4836280	0.598%
9030	7	0.004%	458	0.234%	63236	0.008%	4791147	0.592%
9040	7	0.004%	451	0.230%	63302	0.008%	4727911	0.584%
9050	7	0.004%	444	0.226%	63374	0.008%	4664609	0.576%
9060	5	0.003%	437	0.223%	45324	0.006%	4601235	0.569%
9070	8	0.004%	432	0.220%	72604	0.009%	4555911	0.563%
9080	5	0.003%	424	0.216%	45418	0.006%	4483307	0.554%
9090	10	0.005%	419	0.214%	90945	0.011%	4437889	0.548%
9100	8	0.004%	409	0.209%	72836	0.009%	4346944	0.537%
9110	5	0.003%	401	0.205%	45577	0.006%	4274108	0.528%
9120	3	0.002%	396	0.202%	27375	0.003%	4228531	0.522%
9130	8	0.004%	393	0.200%	73089	0.009%	4201156	0.519%
9140	11	0.006%	385	0.196%	100577	0.012%	4128067	0.510%
9150	3	0.002%	374	0.191%	27461	0.003%	4027490	0.498%
9160	10	0.005%	371	0.189%	91645	0.011%	4000029	0.494%
9170	4	0.002%	361	0.184%	36695	0.005%	3908384	0.483%
9180	8	0.004%	357	0.182%	73476	0.009%	3871689	0.478%
9190	6	0.003%	349	0.178%	55163	0.007%	3798213	0.469%
9200	12	0.006%	343	0.175%	110454	0.014%	3743050	0.463%
9210	2	0.001%	331	0.169%	18425	0.002%	3632596	0.449%
9220	8	0.004%	329	0.168%	73799	0.009%	3614171	0.447%
9230	5	0.003%	321	0.164%	46174	0.006%	3540372	0.437%
9240	6	0.003%	316	0.161%	55473	0.007%	3494198	0.432%
9250	3	0.002%	310	0.158%	27764	0.003%	3438725	0.425%
9260	4	0.002%	307	0.157%	37058	0.005%	3410961	0.421%
9270	3	0.002%	303	0.155%	27823	0.003%	3373903	0.417%
9280	6	0.003%	300	0.153%	55715	0.007%	3346080	0.413%
9290	5	0.003%	294	0.150%	46483	0.006%	3290365	0.407%
9300	5	0.003%	289	0.147%	46513	0.006%	3243882	0.401%
9310	4	0.002%	284	0.145%	37274	0.005%	3197369	0.395%
9320	3	0.002%	280	0.143%	27977	0.003%	3160095	0.390%
9330	1	0.001%	277	0.141%	9331	0.001%	3132118	0.387%
9340	6	0.003%	276	0.141%	56077	0.007%	3122787	0.386%
9350	3	0.002%	270	0.138%	28062	0.003%	3066710	0.379%
9360	3	0.002%	267	0.136%	28092	0.003%	3038648	0.375%
9370	3	0.002%	264	0.135%	28128	0.003%	3010556	0.372%
9380	3	0.002%	261	0.133%	28147	0.003%	2982428	0.369%
9390	4	0.002%	258	0.132%	37569	0.005%	2954281	0.365%
9400	5	0.003%	254	0.130%	47033	0.006%	2916712	0.360%
9410	2	0.001%	249	0.127%	18830	0.002%	2869679	0.355%
9420	3	0.002%	247	0.126%	28279	0.003%	2850849	0.352%
9430	4	0.002%	244	0.124%	37745	0.005%	2822570	0.349%
9440	2	0.001%	240	0.122%	18884	0.002%	2784825	0.344%
9460	2	0.001%	238	0.121%	18932	0.002%	2765941	0.342%
9470	3	0.002%	236	0.120%	28430	0.004%	2747009	0.339%
9480	1	0.001%	233	0.119%	9487	0.001%	2718579	0.336%
9490	2	0.001%	232	0.118%	18987	0.002%	2709092	0.335%
9500	4	0.002%	230	0.117%	38024	0.005%	2690105	0.332%
9520	4	0.002%	226	0.115%	38097	0.005%	2652081	0.328%
9530	2	0.001%	222	0.113%	19071	0.002%	2613984	0.323%
9540	1	0.001%	220	0.112%	9549	0.001%	2594913	0.321%
9550	3	0.002%	219	0.112%	28668	0.004%	2585364	0.319%
9560	3	0.002%	216	0.110%	28700	0.004%	2556696	0.316%
9580	3	0.002%	213	0.109%	28748	0.004%	2527996	0.312%
9590	1	0.001%	210	0.107%	9592	0.001%	2499248	0.309%
9600	3	0.002%	209	0.107%	28823	0.004%	2489656	0.308%
9610	5	0.003%	206	0.105%	48076	0.006%	2460833	0.304%
9620	4	0.002%	201	0.103%	38506	0.005%	2412757	0.298%
9630	1	0.001%	197	0.100%	9639	0.001%	2374251	0.293%
9640	4	0.002%	196	0.100%	38587	0.005%	2364612	0.292%
9650	2	0.001%	192	0.098%	19317	0.002%	2326025	0.287%
9660	3	0.002%	190	0.097%	28985	0.004%	2306708	0.285%
9670	1	0.001%	187	0.095%	9671	0.001%	2277723	0.281%
9680	2	0.001%	186	0.095%	19375	0.002%	2268052	0.280%
9690	2	0.001%	184	0.094%	19393	0.002%	2248677	0.278%
9700	4	0.002%	182	0.093%	38814	0.005%	2229284	0.275%
9710	2	0.001%	178	0.091%	19435	0.002%	2190470	0.271%
9720	5	0.003%	176	0.090%	48620	0.006%	2171035	0.268%
9730	1	0.001%	171	0.087%	9738	0.001%	2122415	0.262%
9740	2	0.001%	170	0.087%	19488	0.002%	2112677	0.261%
9760	6	0.003%	168	0.086%	58585	0.007%	2093189	0.259%
9780	5	0.003%	162	0.083%	48924	0.006%	2034604	0.251%
9790	1	0.001%	157	0.080%	9793	0.001%	1985680	0.245%
9810	1	0.001%	156	0.080%	9810	0.001%	1975887	0.244%
9830	2	0.001%	155	0.079%	19662	0.002%	1966077	0.243%
9840	3	0.002%	153	0.078%	29530	0.004%	1946415	0.241%
9860	1	0.001%	150	0.077%	9864	0.001%	1916885	0.237%
9870	2	0.001%	149	0.076%	19752	0.002%	1907021	0.236%
9880	1	0.001%	147	0.075%	9886	0.001%	1887269	0.233%
9910	2	0.001%	146	0.074%	19830	0.002%	1877383	0.232%
9920	2	0.001%	144	0.073%	19855	0.002%	1857553	0.230%
9940	1	0.001%	142	0.072%	9946	0.001%	1837698	0.227%
9960	1	0.001%	141	0.072%	9964	0.001%	1827752	0.226%
9970	2	0.001%	140	0.071%	19954	0.002%	1817788	0.225%
9980	1	0.001%	138	0.070%	9989	0.001%	1797834	0.222%
10040	1	0.001%	137	0.070%	10047	0.001%	1787845	0.221%
10050	3	0.002%	136	0.069%	30162	0.004%	1777798	0.220%
10060	1	0.001%	133	0.068%	10069	0.001%	1747636	0.216%
10110	1	0.001%	132	0.067%	10113	0.001%	1737567	0.215%
10120	1	0.001%	131	0.067%	10123	0.001%	1727454	0.213%
10130	1	0.001%	130	0.066%	10135	0.001%	1717331	0.212%
10140	1	0.001%	129	0.066%	10141	0.001%	1707196	0.211%
10160	2	0.001%	128	0.065%	20326	0.003%	1697055	0.210%
10170	1	0.001%	126	0.064%	10177	0.001%	1676729	0.207%
10180	1	0.001%	125	0.064%	10181	0.001%	1666552	0.206%
10190	1	0.001%	124	0.063%	10190	0.001%	1656371	0.205%
10230	1	0.001%	123	0.063%	10238	0.001%	1646181	0.203%
10250	3	0.002%	122	0.062%	30768	0.004%	1635943	0.202%
10260	3	0.002%	119	0.061%	30801	0.004%	1605175	0.198%
10270	1	0.001%	116	0.059%	10274	0.001%	1574374	0.195%
10300	2	0.001%	115	0.059%	20604	0.003%	1564100	0.193%
10350	1	0.001%	113	0.058%	10357	0.001%	1543496	0.191%
10360	1	0.001%	112	0.057%	10360	0.001%	1533139	0.189%
10400	1	0.001%	111	0.057%	10409	0.001%	1522779	0.188%
10430	1	0.001%	110	0.056%	10431	0.001%	1512370	0.187%
10440	1	0.001%	109	0.056%	10440	0.001%	1501939	0.186%
10450	1	0.001%	108	0.055%	10458	0.001%	1491499	0.184%
10460	1	0.001%	107	0.055%	10463	0.001%	1481041	0.183%
10470	1	0.001%	106	0.054%	10474	0.001%	1470578	0.182%
10480	1	0.001%	105	0.054%	10484	0.001%	1460104	0.180%
10520	1	0.001%	104	0.053%	10523	0.001%	1449620	0.179%
10540	3	0.002%	103	0.053%	31630	0.004%	1439097	0.178%
10590	1	0.001%	100	0.051%	10595	0.001%	1407467	0.174%
10620	1	0.001%	99	0.051%	10628	0.001%	1396872	0.173%
10640	1	0.001%	98	0.050%	10643	0.001%	1386244	0.171%
10780	1	0.001%	97	0.049%	10783	0.001%	1375601	0.170%
10790	1	0.001%	96	0.049%	10790	0.001%	1364818	0.169%
10800	2	0.001%	95	0.048%	21606	0.003%	1354028	0.167%
10820	1	0.001%	93	0.047%	10823	0.001%	1332422	0.165%
10830	1	0.001%	92	0.047%	10835	0.001%	1321599	0.163%
10860	1	0.001%	91	0.046%	10860	0.001%	1310764	0.162%
10900	1	0.001%	90	0.046%	10904	0.001%	1299904	0.161%
10910	1	0.001%	89	0.045%	10910	0.001%	1289000	0.159%
10960	1	0.001%	88	0.045%	10964	0.001%	1278090	0.158%
11030	1	0.001%	87	0.044%	11035	0.001%	1267126	0.157%
11100	1	0.001%	86	0.044%	11101	0.001%	1256091	0.155%
11110	2	0.001%	85	0.043%	22229	0.003%	1244990	0.154%
11150	1	0.001%	83	0.042%	11151	0.001%	1222761	0.151%
11390	1	0.001%	82	0.042%	11396	0.001%	1211610	0.150%
11410	1	0.001%	81	0.041%	11413	0.001%	1200214	0.148%
11430	1	0.001%	80	0.041%	11430	0.001%	1188801	0.147%
11510	1	0.001%	79	0.040%	11515	0.001%	1177371	0.145%
11580	1	0.001%	78	0.040%	11589	0.001%	1165856	0.144%
11590	1	0.001%	77	0.039%	11597	0.001%	1154267	0.143%
11680	2	0.001%	76	0.039%	23369	0.003%	1142670	0.141%
11700	1	0.001%	74	0.038%	11707	0.001%	1119301	0.138%
11740	1	0.001%	73	0.037%	11748	0.001%	1107594	0.137%
11750	1	0.001%	72	0.037%	11759	0.001%	1095846	0.135%
11830	2	0.001%	71	0.036%	23669	0.003%	1084087	0.134%
11840	1	0.001%	69	0.035%	11843	0.001%	1060418	0.131%
11930	1	0.001%	68	0.035%	11938	0.001%	1048575	0.130%
11950	1	0.001%	67	0.034%	11957	0.001%	1036637	0.128%
11970	1	0.001%	66	0.034%	11978	0.001%	1024680	0.127%
11980	1	0.001%	65	0.033%	11989	0.001%	1012702	0.125%
12070	1	0.001%	64	0.033%	12071	0.001%	1000713	0.124%
12160	1	0.001%	63	0.032%	12164	0.002%	988642	0.122%
12180	1	0.001%	62	0.032%	12182	0.002%	976478	0.121%
12190	1	0.001%	61	0.031%	12197	0.002%	964296	0.119%
12220	1	0.001%	60	0.031%	12222	0.002%	952099	0.118%
12270	1	0.001%	59	0.030%	12279	0.002%	939877	0.116%
12510	2	0.001%	58	0.030%	25028	0.003%	927598	0.115%
12640	1	0.001%	56	0.029%	12648	0.002%	902570	0.112%
12680	1	0.001%	55	0.028%	12684	0.002%	889922	0.110%
12710	1	0.001%	54	0.028%	12711	0.002%	877238	0.108%
12750	1	0.001%	53	0.027%	12752	0.002%	864527	0.107%
12790	1	0.001%	52	0.027%	12790	0.002%	851775	0.105%
12810	1	0.001%	51	0.026%	12814	0.002%	838985	0.104%
12920	1	0.001%	50	0.026%	12920	0.002%	826171	0.102%
13030	1	0.001%	49	0.025%	13034	0.002%	813251	0.100%
13060	1	0.001%	48	0.024%	13062	0.002%	800217	0.099%
13140	1	0.001%	47	0.024%	13147	0.002%	787155	0.097%
13190	1	0.001%	46	0.023%	13194	0.002%	774008	0.096%
13200	1	0.001%	45	0.023%	13201	0.002%	760814	0.094%
13230	1	0.001%	44	0.022%	13237	0.002%	747613	0.092%
13270	1	0.001%	43	0.022%	13278	0.002%	734376	0.091%
13350	1	0.001%	42	0.021%	13351	0.002%	721098	0.089%
13400	2	0.001%	41	0.021%	26813	0.003%	707747	0.087%
13490	1	0.001%	39	0.020%	13498	0.002%	680934	0.084%
13540	1	0.001%	38	0.019%	13541	0.002%	667436	0.082%
13760	1	0.001%	37	0.019%	13762	0.002%	653895	0.081%
13800	1	0.001%	36	0.018%	13805	0.002%	640133	0.079%
13870	1	0.001%	35	0.018%	13875	0.002%	626328	0.077%
14040	1	0.001%	34	0.017%	14044	0.002%	612453	0.076%
14110	1	0.001%	33	0.017%	14110	0.002%	598409	0.074%
14120	1	0.001%	32	0.016%	14120	0.002%	584299	0.072%
14150	1	0.001%	31	0.016%	14152	0.002%	570179	0.070%
14240	1	0.001%	30	0.015%	14248	0.002%	556027	0.069%
14260	1	0.001%	29	0.015%	14266	0.002%	541779	0.067%
14310	1	0.001%	28	0.014%	14313	0.002%	527513	0.065%
14330	1	0.001%	27	0.014%	14334	0.002%	513200	0.063%
14640	1	0.001%	26	0.013%	14644	0.002%	498866	0.062%
14810	1	0.001%	25	0.013%	14810	0.002%	484222	0.060%
14950	1	0.001%	24	0.012%	14950	0.002%	469412	0.058%
15110	1	0.001%	23	0.012%	15110	0.002%	454462	0.056%
15340	1	0.001%	22	0.011%	15347	0.002%	439352	0.054%
15500	1	0.001%	21	0.011%	15505	0.002%	424005	0.052%
15530	1	0.001%	20	0.010%	15537	0.002%	408500	0.050%
15550	1	0.001%	19	0.010%	15550	0.002%	392963	0.049%
15700	1	0.001%	18	0.009%	15703	0.002%	377413	0.047%
16040	1	0.001%	17	0.009%	16048	0.002%	361710	0.045%
16140	1	0.001%	16	0.008%	16144	0.002%	345662	0.043%
16210	1	0.001%	15	0.008%	16217	0.002%	329518	0.041%
16370	1	0.001%	14	0.007%	16375	0.002%	313301	0.039%
16630	1	0.001%	13	0.007%	16633	0.002%	296926	0.037%
16930	1	0.001%	12	0.006%	16934	0.002%	280293	0.035%
16970	1	0.001%	11	0.006%	16978	0.002%	263359	0.033%
17010	1	0.001%	10	0.005%	17016	0.002%	246381	0.030%
17230	1	0.001%	9	0.005%	17232	0.002%	229365	0.028%
17550	1	0.001%	8	0.004%	17556	0.002%	212133	0.026%
17590	1	0.001%	7	0.004%	17593	0.002%	194577	0.024%
18140	1	0.001%	6	0.003%	18142	0.002%	176984	0.022%
18600	1	0.001%	5	0.003%	18607	0.002%	158842	0.020%
21090	1	0.001%	4	0.002%	21095	0.003%	140235	0.017%
22200	1	0.001%	3	0.002%	22206	0.003%	119140	0.015%
38890	1	0.001%	2	0.001%	38893	0.005%	96934	0.012%
58040	1	0.001%	1	0.001%	58041	0.007%	58041	0.007%
