#Reads:	196031
#Bases:	809296219
#Max:	58041
#Min:	9
#Avg:	4128.4
#Median:	3950
#Mode:	3630
#Std_Dev:	1663.6
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
5080	334	0.170%	53547	27.316%	1698156	0.210%	335631074	41.472%
5090	327	0.167%	53213	27.145%	1665906	0.206%	333932918	41.262%
5100	319	0.163%	52886	26.978%	1628298	0.201%	332267012	41.056%
5110	298	0.152%	52567	26.816%	1524097	0.188%	330638714	40.855%
5120	324	0.165%	52269	26.664%	1660292	0.205%	329114617	40.667%
5130	359	0.183%	51945	26.498%	1843387	0.228%	327454325	40.462%
5140	311	0.159%	51586	26.315%	1599914	0.198%	325610938	40.234%
5150	318	0.162%	51275	26.157%	1639187	0.203%	324011024	40.036%
5160	311	0.159%	50957	25.994%	1606192	0.198%	322371837	39.834%
5170	313	0.160%	50646	25.836%	1619661	0.200%	320765645	39.635%
5180	336	0.171%	50333	25.676%	1741926	0.215%	319145984	39.435%
5190	308	0.157%	49997	25.505%	1599975	0.198%	317404058	39.220%
5200	310	0.158%	49689	25.348%	1613400	0.199%	315804083	39.022%
5210	348	0.178%	49379	25.189%	1814670	0.224%	314190683	38.823%
5220	328	0.167%	49031	25.012%	1713601	0.212%	312376013	38.598%
5230	312	0.159%	48703	24.845%	1633223	0.202%	310662412	38.387%
5240	308	0.157%	48391	24.685%	1615282	0.200%	309029189	38.185%
5250	330	0.168%	48083	24.528%	1733984	0.214%	307413907	37.985%
5260	327	0.167%	47753	24.360%	1721528	0.213%	305679923	37.771%
5270	311	0.159%	47426	24.193%	1640331	0.203%	303958395	37.558%
5280	306	0.156%	47115	24.034%	1617094	0.200%	302318064	37.356%
5290	300	0.153%	46809	23.878%	1588258	0.196%	300700970	37.156%
5300	281	0.143%	46509	23.725%	1490572	0.184%	299112712	36.960%
5310	302	0.154%	46228	23.582%	1604988	0.198%	297622140	36.775%
5320	313	0.160%	45926	23.428%	1666684	0.206%	296017152	36.577%
5330	311	0.159%	45613	23.268%	1658945	0.205%	294350468	36.371%
5340	301	0.154%	45302	23.110%	1608655	0.199%	292691523	36.166%
5350	312	0.159%	45001	22.956%	1670605	0.206%	291082868	35.967%
5360	286	0.146%	44689	22.797%	1534205	0.190%	289412263	35.761%
5370	336	0.171%	44403	22.651%	1805859	0.223%	287878058	35.571%
5380	289	0.147%	44067	22.480%	1556116	0.192%	286072199	35.348%
5390	287	0.146%	43778	22.332%	1548342	0.191%	284516083	35.156%
5400	272	0.139%	43491	22.186%	1470000	0.182%	282967741	34.965%
5410	286	0.146%	43219	22.047%	1548597	0.191%	281497741	34.783%
5420	311	0.159%	42933	21.901%	1687012	0.208%	279949144	34.592%
5430	295	0.150%	42622	21.742%	1603196	0.198%	278262132	34.383%
5440	300	0.153%	42327	21.592%	1633367	0.202%	276658936	34.185%
5450	299	0.153%	42027	21.439%	1630826	0.202%	275025569	33.983%
5460	287	0.146%	41728	21.286%	1568361	0.194%	273394743	33.782%
5470	317	0.162%	41441	21.140%	1735345	0.214%	271826382	33.588%
5480	320	0.163%	41124	20.978%	1754970	0.217%	270091037	33.374%
5490	279	0.142%	40804	20.815%	1533023	0.189%	268336067	33.157%
5500	281	0.143%	40525	20.673%	1546684	0.191%	266803044	32.967%
5510	301	0.154%	40244	20.529%	1659865	0.205%	265256360	32.776%
5520	347	0.177%	39943	20.376%	1916953	0.237%	263596495	32.571%
5530	261	0.133%	39596	20.199%	1444508	0.178%	261679542	32.334%
5540	288	0.147%	39335	20.066%	1596775	0.197%	260235034	32.156%
5550	281	0.143%	39047	19.919%	1560746	0.193%	258638259	31.958%
5560	256	0.131%	38766	19.775%	1424550	0.176%	257077513	31.766%
5570	250	0.128%	38510	19.645%	1393593	0.172%	255652963	31.590%
5580	255	0.130%	38260	19.517%	1423981	0.176%	254259370	31.417%
5590	269	0.137%	38005	19.387%	1504972	0.186%	252835389	31.241%
5600	249	0.127%	37736	19.250%	1395483	0.172%	251330417	31.055%
5610	269	0.137%	37487	19.123%	1510235	0.187%	249934934	30.883%
5620	262	0.134%	37218	18.986%	1473696	0.182%	248424699	30.696%
5630	269	0.137%	36956	18.852%	1515771	0.187%	246951003	30.514%
5640	262	0.134%	36687	18.715%	1478699	0.183%	245435232	30.327%
5650	251	0.128%	36425	18.581%	1419279	0.175%	243956533	30.144%
5660	286	0.146%	36174	18.453%	1620009	0.200%	242537254	29.969%
5670	277	0.141%	35888	18.307%	1571864	0.194%	240917245	29.769%
5680	257	0.131%	35611	18.166%	1460951	0.181%	239345381	29.575%
5690	233	0.119%	35354	18.035%	1326847	0.164%	237884430	29.394%
5700	262	0.134%	35121	17.916%	1494617	0.185%	236557583	29.230%
5710	260	0.133%	34859	17.782%	1485784	0.184%	235062966	29.045%
5720	237	0.121%	34599	17.650%	1356687	0.168%	233577182	28.862%
5730	281	0.143%	34362	17.529%	1611254	0.199%	232220495	28.694%
5740	262	0.134%	34081	17.386%	1505072	0.186%	230609241	28.495%
5750	264	0.135%	33819	17.252%	1519184	0.188%	229104169	28.309%
5760	254	0.130%	33555	17.117%	1464180	0.181%	227584985	28.121%
5770	243	0.124%	33301	16.988%	1403184	0.173%	226120805	27.940%
5780	226	0.115%	33058	16.864%	1307271	0.162%	224717621	27.767%
5790	260	0.133%	32832	16.748%	1506546	0.186%	223410350	27.606%
5800	234	0.119%	32572	16.616%	1358235	0.168%	221903804	27.419%
5810	251	0.128%	32338	16.496%	1459430	0.180%	220545569	27.252%
5820	256	0.131%	32087	16.368%	1491017	0.184%	219086139	27.071%
5830	248	0.127%	31831	16.238%	1446986	0.179%	217595122	26.887%
5840	248	0.127%	31583	16.111%	1449419	0.179%	216148136	26.708%
5850	246	0.125%	31335	15.985%	1440184	0.178%	214698717	26.529%
5860	234	0.119%	31089	15.859%	1372360	0.170%	213258533	26.351%
5870	252	0.129%	30855	15.740%	1480354	0.183%	211886173	26.182%
5880	244	0.124%	30603	15.611%	1435877	0.177%	210405819	25.999%
5890	243	0.124%	30359	15.487%	1432415	0.177%	208969942	25.821%
5900	233	0.119%	30116	15.363%	1375821	0.170%	207537527	25.644%
5910	207	0.106%	29883	15.244%	1224308	0.151%	206161706	25.474%
5920	232	0.118%	29676	15.138%	1374459	0.170%	204937398	25.323%
5930	250	0.128%	29444	15.020%	1483709	0.183%	203562939	25.153%
5940	222	0.113%	29194	14.893%	1319728	0.163%	202079230	24.970%
5950	249	0.127%	28972	14.779%	1482637	0.183%	200759502	24.807%
5960	194	0.099%	28723	14.652%	1157115	0.143%	199276865	24.623%
5970	221	0.113%	28529	14.553%	1320381	0.163%	198119750	24.480%
5980	221	0.113%	28308	14.441%	1322580	0.163%	196799369	24.317%
5990	212	0.108%	28087	14.328%	1270855	0.157%	195476789	24.154%
6000	189	0.096%	27875	14.220%	1134791	0.140%	194205934	23.997%
6010	227	0.116%	27686	14.123%	1365315	0.169%	193071143	23.857%
6020	255	0.130%	27459	14.007%	1536299	0.190%	191705828	23.688%
6030	235	0.120%	27204	13.877%	1418171	0.175%	190169529	23.498%
6040	216	0.110%	26969	13.758%	1305662	0.161%	188751358	23.323%
6050	198	0.101%	26753	13.647%	1198750	0.148%	187445696	23.162%
6060	227	0.116%	26555	13.546%	1376634	0.170%	186246946	23.013%
6070	201	0.103%	26328	13.431%	1221017	0.151%	184870312	22.843%
6080	211	0.108%	26127	13.328%	1283843	0.159%	183649295	22.692%
6090	225	0.115%	25916	13.220%	1371266	0.169%	182365452	22.534%
6100	203	0.104%	25691	13.106%	1239283	0.153%	180994186	22.364%
6110	197	0.100%	25488	13.002%	1204600	0.149%	179754903	22.211%
6120	203	0.104%	25291	12.902%	1243248	0.154%	178550303	22.062%
6130	177	0.090%	25088	12.798%	1085781	0.134%	177307055	21.909%
6140	197	0.100%	24911	12.708%	1210413	0.150%	176221274	21.775%
